index,ID,SMILES,InChIKey,Solubility,split,logp
0,A-10,Cc1cccc(C=C)c1,JZHGRUMIRATHIU-UHFFFAOYSA-N,-3.1231503041,1,2.638020000000001
1,A-100,Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,ODJUOZPKKHIEOZ-UHFFFAOYSA-N,-4.9528688028,1,4.657380000000004
2,A-1000,O=C1CCCCCCCCCOCCCCCO1,MKEIDVFLAWJKMY-UHFFFAOYSA-N,-3.8838494997,1,3.850900000000003
3,A-1002,CCCCCCCCCCC(C)CCCCCCCC,FFVPRSKCTDQLBP-UHFFFAOYSA-N,-6.4511045339,1,7.903900000000008
4,A-1003,NC(=O)N=NC(N)=O,XOZUGNYVDXMRKW-UHFFFAOYSA-N,-3.5462434596,1,-0.40399999999999986
5,A-1004,CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,ICKWICRCANNIBI-UHFFFAOYSA-N,-3.7960463334,1,3.987200000000003
6,A-1005,CC(Cc1ccc(cc1)C(C)(C)C)C=O,SDQFDHOLCGWZPU-UHFFFAOYSA-N,-3.7917820609,1,3.361600000000002
7,A-1006,COc1ccc(cc1N)C(=O)Nc2ccccc2,LHMQDVIHBXWNII-UHFFFAOYSA-N,-3.86580004,1,2.529700000000001
8,A-1007,[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N,-2.9287991689,1,-0.03751
9,A-1009,CCC(C)(C)Cl,CRNIHJHMEQZAAS-UHFFFAOYSA-N,-2.5105450102,1,2.4138
11,A-1011,N#CCN(CCN(CC#N)CC#N)CC#N,FDWRKVKXYZRYOD-UHFFFAOYSA-N,-2.8204043469,1,-0.31528
12,A-1013,CC(C)(C)OOC(=O)c1ccccc1,GJBRNHKUVLOCEB-UHFFFAOYSA-N,-2.7764329492,1,2.573500000000001
13,A-1014,CC(F)F,NPNPZTNLOVBDOC-UHFFFAOYSA-N,-1.3147228436,1,1.2714
14,A-1015,CCC(C)(O)CCCC(C)C,DLHQZZUEERVIGQ-UHFFFAOYSA-N,-2.6942897822,1,2.973700000000002
15,A-1016,COc1ccc2NC(=S)Nc2c1,KOFBRZWVWJCLGM-UHFFFAOYSA-N,-2.7506819237,1,2.23409
16,A-1018,FC(F)(F)Br,RJCQBQGAPKAMLL-UHFFFAOYSA-N,-2.6677709688,1,1.9011
18,A-1021,C1OC1COc2ccc3c(OCC4CO4)cccc3c2,MEVBAGCIOOTPLF-UHFFFAOYSA-N,-3.9191737976,1,2.3950000000000005
19,A-1022,CC(C)=CCC\C(C)=C\COC=O,FQMZVFJYMPNUCT-YRNVUSSQSA-N,-3.7461507617,1,2.852100000000001
20,A-1023,O.O.O.O.[Pb].[Pb].[Pb].[Pb].[Pb].[O-][S]([O-])(=O)=O,BKMAZJUOHZYBFP-UHFFFAOYSA-L,-4.5661230993,1,-6.540799999999996
21,A-1024,C[C@@H]1CC=C(C)[C@H](\C=C\C(C)=O)C1(C)C,JZQOJFLIJNRDHK-UZPJXDOOSA-N,-3.8026769123,1,3.760100000000003
22,A-1025,CO[SiH](CC1CCCCC1)OC,XRLIOAUFFCHSIC-UHFFFAOYSA-N,-3.0959725365,1,2.08
23,A-1027,Nc1ccc(\C=C\c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O,REJHVSOVQBJEBF-OWOJBTEDSA-N,-4.0635303796,1,1.5148000000000006
24,A-1028,[Zn++].Cc1cccc2[N-]C(=S)Nc12.Cc3cccc4NC(=S)[N-]c34,GHPJYLIEFFVDGR-UHFFFAOYSA-L,-4.0879587895,1,4.323520000000002
25,A-1029,OC(=O)CC[P](O)(=O)c1ccccc1,MORLYCDUFHDZKO-UHFFFAOYSA-N,-0.8283051545,1,1.057
26,A-1030,O=[S](Cc1ccccc1)Cc2ccccc2,HTMQZWFSTJVJEQ-UHFFFAOYSA-N,-2.8588087212,1,3.1355000000000013
27,A-1032,CC(C)(N=NC(C)(C)C#N)C#N,OZAIFHULBGXAKX-UHFFFAOYSA-N,-2.7132509977,1,2.04296
28,A-1033,CCC(C)COC(=O)C=C,NCTBYWFEJFTVEL-UHFFFAOYSA-N,-2.6532064055,1,1.7617
29,A-1034,Clc1sc2ccccc2n1,BSQLQMLFTHJVKS-UHFFFAOYSA-N,-2.7325883752,1,2.949700000000001
30,A-1035,CC1=CC(=O)N(O)C(=C1)C2CCCCC2.NCCO,MBRHNTMUYWQHMR-UHFFFAOYSA-N,-0.9331685906,1,1.37912
31,A-1038,Clc1ccc2c(Cl)ccnc2c1,HXEWMTXDBOQQKO-UHFFFAOYSA-N,-2.8026246384,1,3.5416000000000007
32,A-1041,Nc1ccccc1[S](O)(=O)=O,ZMCHBSMFKQYNKA-UHFFFAOYSA-N,-1.7471686412,1,0.5155000000000001
33,A-1042,[Ti+4].CC(C)[O-].CC(C)[O-].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,DOOBMVWXHWRGEB-UHFFFAOYSA-N,-2.0700509817,1,0.24507999999999996
34,A-1043,CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,GRDXCFKBQWDAJH-UHFFFAOYSA-N,-2.8772524161,1,1.5724999999999998
35,A-1050,CCC(=O)OC1C(C)CCCC1(C)C,JFBKOWCEVLNQHV-UHFFFAOYSA-N,-3.8031812605,1,3.1544000000000016
36,A-1051,COC(=O)c1ccc(cc1)C(=O)OC,WOZVHXUHUFLZGK-UHFFFAOYSA-N,-3.796856222,1,1.2597999999999998
37,A-1052,CCCCCCCC1CCCC1=O,PJXHBTZLHITWFX-UHFFFAOYSA-N,-3.7694416506,1,3.7161000000000026
38,A-1053,O=C(Cc1ccccc1)OCc2ccccc2,MIYFJEKZLFWKLZ-UHFFFAOYSA-N,-3.8632748797,1,2.972500000000001
39,A-1056,CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,-2.8302990647,1,1.4126
40,A-1058,C[C@@H](CCO)CCC=C(C)C,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,-2.7067344575,1,2.7513000000000014
41,A-1059,CCC(=O)C(C)CC=C(C)C,WKQWDIFHKYWRTA-UHFFFAOYSA-N,-2.7010952437,1,2.9579000000000013
42,A-106,CCOC(=O)CC(C)CC(C)(C)C,NMZMQQBBZRGLPJ-UHFFFAOYSA-N,-3.8230431676,1,3.0119000000000016
