smiles,logp,sas
C=Cc1cccc(C)c1,2.638020000000001,1.7982341610717096
Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,4.657380000000004,2.2744553875447675
O=C1CCCCCCCCCOCCCCCO1,3.850900000000003,2.572723141323465
CCCCCCCCCCC(C)CCCCCCCC,7.903900000000008,2.0978187270830446
NC(=O)N=NC(N)=O,-0.40399999999999986,3.4569083303149197
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,3.987200000000003,2.015494252407155
CC(C=O)Cc1ccc(C(C)(C)C)cc1,3.361600000000002,2.4901781128001996
COc1ccc(C(=O)Nc2ccccc2)cc1N,2.529700000000001,1.4693457427339975
[C-]#[O+],-0.03751,6.128244842026316
CCC(C)(C)Cl,2.4138,2.3925518500613077
N#CCN(CC#N)CCN(CC#N)CC#N,-0.31528,3.284306537494862
CC(C)(C)OOC(=O)c1ccccc1,2.573500000000001,1.9804445533034745
CC(F)F,1.2714,2.5392518926218255
CCC(C)(O)CCCC(C)C,2.973700000000002,2.7723891215023038
COc1ccc2[nH]c(=S)[nH]c2c1,2.23409,2.2284587559779734
FC(F)(F)Br,1.9011,2.738662228442209
c1cc(OCC2CO2)c2ccc(OCC3CO3)cc2c1,2.3950000000000005,2.8748324929077853
CC(C)=CCC/C(C)=C/COC=O,2.852100000000001,2.9960067829758597
CC(=O)/C=C/[C@H]1C(C)=CC[C@@H](C)C1(C)C,3.760100000000003,3.93289272593055
CO[SiH](CC1CCCCC1)OC,2.08,3.571409434711005
Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1.5148000000000006,2.5687092462977095
O=C(O)CCP(=O)(O)c1ccccc1,1.057,2.8786277861661524
O=S(Cc1ccccc1)Cc1ccccc1,3.1355000000000013,1.814810013809872
CC(C)(C#N)N=NC(C)(C)C#N,2.04296,3.8060154075616843
C=CC(=O)OCC(C)CC,1.7617,2.8524458103759365
Clc1nc2ccccc2s1,2.949700000000001,1.9807606133598625
Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,1.37912,2.654044418637639
Clc1ccc2c(Cl)ccnc2c1,3.5416000000000007,1.8203881677426779
Nc1ccccc1S(=O)(=O)O,0.5155000000000001,1.8608109463768052
CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1,1.5724999999999998,1.7086302738418269
CCC(=O)OC1C(C)CCCC1(C)C,3.1544000000000016,3.3471125101064727
COC(=O)c1ccc(C(=O)OC)cc1,1.2597999999999998,1.34007815654234
CCCCCCCC1CCCC1=O,3.7161000000000026,2.539092093277457
O=C(Cc1ccccc1)OCc1ccccc1,2.972500000000001,1.3362222741482501
CN(C)C(=S)SC(=S)N(C)C,1.4126,3.4407593106562047
CC(C)=CCC[C@@H](C)CCO,2.7513000000000014,2.8993617626542534
CCC(=O)C(C)CC=C(C)C,2.9579000000000013,3.149009451172632
CCOC(=O)CC(C)CC(C)(C)C,3.0119000000000016,2.570085478270842
Cc1cc(C)c(N)c(S(=O)(=O)O)c1,1.1323400000000001,2.182385204554281
c1ccsc1,1.7481,3.185782228442209
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.423700000000002,1.8304717945601112
O=CC(Cl)(Cl)Cl,1.5554999999999999,3.4141423826056876
CCC(C)CO,1.0248,2.696596696128596
CC(C)CCO,1.0248,2.157192086747699
c1ccc2scnc2c1,2.2963000000000005,1.8982895456870956
O=C(O)c1cccc([N+](=O)[O-])c1,1.293,1.5713958883309154
O=c1[nH]c2ccccc2c(=O)o1,0.4813,2.0851021948920003
O=C(c1ccccc1)C(O)c1ccccc1,2.602900000000001,1.975409740247624
CCCCCCCCO,2.3392000000000013,1.572912930302481
COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,1.6615,2.7152682555681125
C=CC(C)(CCC=C(C)C)OC(C)=O,3.2406000000000024,3.40831057968842
CC(C)(C)c1cccc(C(C)(C)C)c1O,3.987200000000003,2.055502349573148
CCCCC(CC)COC(C)=O,2.765900000000001,2.496269632327195
CCCCCCCCC(C)C#N,3.8966800000000035,2.5689970798796438
CCN1C(=O)C(C#N)=C(C)/C(=N\Nc2ccc(Cl)cc2[N+](=O)[O-])C1=O,2.24488,2.6231221891043113
C=CCCCC(C)C,2.9987000000000013,2.1409303083368982
O=C1Cc2cc(CCCl)c(Cl)cc2N1,2.615900000000001,2.586397745455452
CCCCOCCOC(=O)CCCCC(=O)OCCOCCCC,3.2666000000000013,2.1805549759357206
CCC1CCC(CCC(=O)O)C1,2.6775,2.776710851159537
CC(c1ccccc1)c1ccccc1,3.8384000000000027,1.39758377518557
Cc1ccccc1Cc1ccccc1,3.585820000000002,1.2760584468553642
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,4.0191000000000034,4.2694786987141695
O=C(O)c1cc(Nc2ccccc2)c(C(=O)O)cc1Nc1ccccc1,4.5702000000000025,1.9024147337878965
O=C(/C=C/c1ccccc1)OCc1ccccc1,3.443200000000002,1.5395469209120876
CCc1ccc(C)nc1,1.9524199999999998,1.7493184687640184
